ID.SALESORDERID,DELTATOKEN,IS_DELETED
0500000281,2012-10-03,N
0500000282,2012-10-03,N
0500000283,2012-10-03,N
0500000284,2012-10-03,N
0500000285,2012-10-03,N
0500000286,2012-10-03,N
0500000287,2012-10-03,N
0500000288,2012-10-03,N
0500000289,2012-10-03,N
0500000290,2012-10-03,N
0500000291,2012-10-03,N
0500000292,2012-10-03,N
0500000293,2012-10-03,N
0500000294,2012-10-03,N
0500000295,2012-10-03,N
0500000296,2012-10-03,N
0500000297,2012-10-03,N
0500000298,2012-10-03,N
0500000299,2012-10-03,N
0500000300,2012-10-03,N
0500000301,2012-10-03,N
0500000302,2012-10-03,N
0500000303,2012-10-03,N
0500000304,2012-10-03,N
0500000305,2012-10-03,N
0500000306,2012-10-03,N
0500000307,2012-10-03,N
0500000308,2012-10-03,N
0500000309,2012-10-03,N
0500000310,2012-10-03,N
0500000311,2012-10-03,N
0500000312,2012-10-03,N
0500000313,2012-10-03,N
0500000314,2012-10-03,N
0500000315,2012-10-03,N
0500000316,2012-10-03,N
0500000317,2012-10-03,N
0500000318,2012-10-03,N
0500000319,2012-10-03,N
0500000320,2012-10-03,N
0500000321,2012-10-03,N
0500000322,2012-10-03,N
0500000323,2012-10-03,N
0500000324,2012-10-03,N
0500000325,2012-10-03,N
0500000326,2012-10-03,N
0500000327,2012-10-03,N
0500000328,2012-10-03,N
0500000329,2012-10-03,N
0500000330,2012-10-03,N
0500000331,2012-10-03,N
0500000332,2012-10-03,N
0500000333,2012-10-03,N
0500000334,2012-10-03,N
0500000335,2012-10-03,N
0500000336,2012-10-03,N
0500000337,2012-10-03,N
0500000338,2012-10-03,N
0500000339,2012-10-03,N
0500000340,2012-10-03,N
0500000341,2012-10-03,N
0500000342,2012-10-03,N
0500000343,2012-10-03,N
0500000344,2012-10-03,N
0500000345,2012-10-03,N
0500000346,2012-10-03,N
0500000347,2012-10-03,N
0500000348,2012-10-03,N
0500000349,2012-10-03,N
0500000350,2012-10-03,N
0500000351,2012-10-03,N
0500000352,2012-10-03,N
0500000353,2012-10-03,N
0500000354,2012-10-03,N
0500000355,2012-10-03,N
0500000356,2012-10-03,N
0500000357,2012-10-03,N
0500000358,2012-10-03,N
0500000359,2012-10-03,N
0500000360,2012-10-03,N
0500000361,2012-10-03,N
0500000362,2012-10-03,N
0500000363,2012-10-03,N
0500000364,2012-10-03,N
0500000365,2012-10-03,N
0500000366,2012-10-03,N
0500000367,2012-10-03,N
0500000368,2012-10-03,N
0500000369,2012-10-03,N
0500000370,2012-10-03,N
0500000371,2012-10-03,N
0500000372,2012-10-03,N
0500000373,2012-10-03,N
0500000374,2012-10-03,N
0500000375,2012-10-03,N
0500000376,2012-10-03,N
0500000377,2012-10-03,N
0500000378,2012-10-03,N
0500000379,2012-10-03,N
0500000380,2012-10-03,N
0500000381,2012-10-03,N
0500000382,2012-10-03,N
0500000383,2012-10-03,N
0500000384,2012-10-03,N
0500000385,2012-10-03,N
0500000386,2012-10-03,N
0500000387,2012-10-03,N
0500000388,2012-10-03,N
0500000389,2012-10-03,N
0500000390,2012-10-03,N
0500000391,2012-10-03,N
0500000392,2012-10-03,N
0500000393,2012-10-03,N
0500000394,2012-10-03,N
0500000395,2012-10-03,N
0500000396,2012-10-03,N
0500000397,2012-10-03,N
0500000398,2012-10-03,N
0500000399,2012-10-03,N
0500000400,2012-10-03,N
0500000401,2012-10-03,N
0500000402,2012-10-03,N
0500000403,2012-10-03,N
0500000404,2012-10-03,N
0500000405,2012-10-03,N
0500000406,2012-10-03,N
0500000407,2012-10-03,N
0500000408,2012-10-03,N
0500000409,2012-10-03,N
0500000410,2012-10-03,N
0500000411,2012-10-03,N
0500000412,2012-10-03,N
0500000413,2012-10-03,N
0500000414,2012-10-03,N
0500000415,2012-10-03,N
0500000416,2012-10-03,N
0500000417,2012-10-03,N
0500000418,2012-10-03,N
0500000419,2012-10-03,N
0500000420,2012-10-03,N
0500000421,2012-10-03,N
0500000422,2012-10-03,N
0500000423,2012-10-03,N
0500000424,2012-10-03,N
0500000425,2012-10-03,N
0500000426,2012-10-03,N
0500000427,2012-10-03,N
0500000428,2012-10-03,N
0500000429,2012-10-03,N
0500000430,2012-10-03,N
0500000431,2012-10-03,N
0500000432,2012-10-03,N
0500000433,2012-10-03,N
0500000434,2012-10-03,N
0500000435,2012-10-03,N
0500000436,2012-10-03,N
0500000437,2012-10-03,N
0500000438,2012-10-03,N
0500000439,2012-10-03,N
0500000440,2012-10-03,N
0500000441,2012-10-03,N
0500000442,2012-10-03,N
0500000443,2012-10-03,N
0500000444,2012-10-03,N
0500000445,2012-10-03,N
0500000446,2012-10-03,N
0500000447,2012-10-03,N
0500000448,2012-10-03,N
0500000449,2012-10-03,N
0500000450,2012-10-03,N
0500000451,2012-10-03,N
0500000452,2012-10-03,N
0500000453,2012-10-03,N
0500000454,2012-10-03,N
0500000455,2012-10-03,N
0500000456,2012-10-03,N
0500000457,2012-10-03,N
0500000458,2012-10-03,N
0500000459,2012-10-03,N
0500000460,2012-10-03,N
0500000461,2012-10-03,N
0500000462,2012-10-03,N
0500000463,2012-10-03,N
0500000464,2012-10-03,N
0500000465,2012-10-03,N
0500000466,2012-10-03,N
0500000467,2012-10-03,N
0500000468,2012-10-03,N
0500000469,2012-10-03,N
0500000470,2012-10-03,N
0500000471,2012-10-03,N
0500000472,2012-10-03,N
0500000473,2012-10-03,N
0500000474,2012-10-03,N
0500000475,2012-10-03,N
0500000476,2012-10-03,N
0500000477,2012-10-03,N
0500000478,2012-10-03,N
0500000479,2012-10-03,N
0500000480,2012-10-03,N
0500000481,2012-10-03,N
0500000482,2012-10-03,N
0500000483,2012-10-03,N
0500000484,2012-10-03,N
0500000485,2012-10-03,N
0500000486,2012-10-03,N
0500000487,2012-10-03,N
0500000488,2012-10-03,N
0500000489,2012-10-03,N
0500000490,2012-10-03,N
0500000491,2012-10-03,N
0500000492,2012-10-03,N
0500000493,2012-10-03,N
0500000494,2012-10-03,N
0500000495,2012-10-03,N
0500000496,2012-10-03,N
0500000497,2012-10-03,N
0500000498,2012-10-03,N
0500000499,2012-10-03,N
0500000500,2012-10-03,N
0500000501,2012-10-03,N
0500000502,2012-10-03,N
0500000503,2012-10-03,N
0500000504,2012-10-03,N
0500000505,2012-10-03,N
0500000506,2012-10-03,N
0500000507,2012-10-03,N
0500000508,2012-10-03,N
0500000509,2012-10-03,N
0500000510,2012-10-03,N
0500000511,2012-10-03,N
0500000512,2012-10-03,N
0500000513,2012-10-03,N
0500000514,2012-10-03,N
0500000515,2012-10-03,N
0500000516,2012-10-03,N
0500000517,2012-10-03,N
0500000518,2012-10-03,N
0500000519,2012-10-03,N
0500000520,2012-10-03,N
0500000521,2012-10-03,N
0500000522,2012-10-03,N
0500000523,2012-10-03,N
0500000524,2012-10-03,N
0500000525,2012-10-03,N
0500000526,2012-10-03,N
0500000527,2012-10-03,N
0500000528,2012-10-03,N
0500000529,2012-10-03,N
0500000530,2012-10-03,N
0500000531,2012-10-03,N
0500000532,2012-10-03,N
0500000533,2012-10-03,N
0500000534,2012-10-03,N
0500000535,2012-10-03,N
0500000536,2012-10-03,N
0500000537,2012-10-03,N
0500000538,2012-10-03,N
0500000539,2012-10-03,N
0500000540,2012-10-03,N
0500000541,2012-10-03,N
0500000542,2012-10-03,N
0500000543,2012-10-03,N
0500000544,2012-10-03,N
0500000545,2012-10-03,N
0500000546,2012-10-03,N
0500000547,2012-10-03,N
0500000548,2012-10-03,N
0500000549,2012-10-03,N
0500000550,2012-10-03,N
0500000551,2012-10-03,N
0500000552,2012-10-03,N
0500000553,2012-10-03,N
0500000554,2012-10-03,N
0500000555,2012-10-03,N
0500000556,2012-10-03,N
0500000557,2012-10-03,N
0500000558,2012-10-03,N
0500000559,2012-10-03,N
0500000560,2012-10-03,N
0500000561,2012-10-03,N
0500000562,2012-10-03,N
0500000563,2012-10-03,N
0500000564,2012-10-03,N
0500000565,2012-10-03,N
0500000566,2012-10-03,N
0500000567,2012-10-03,N
0500000568,2012-10-03,N
0500000569,2012-10-03,N
0500000570,2012-10-03,N
0500000571,2012-10-03,N
0500000572,2012-10-03,N
0500000573,2012-10-03,N
0500000574,2012-10-03,N
0500000575,2012-10-03,N
0500000576,2012-10-03,N
0500000577,2012-10-03,N
0500000578,2012-10-03,N
0500000579,2012-10-03,N
0500000580,2012-10-03,N
0500000581,2012-10-03,N
0500000582,2012-10-03,N
0500000583,2012-10-03,N
0500000584,2012-10-03,N
0500000585,2012-10-03,N
0500000586,2012-10-03,N
0500000587,2012-10-03,N
0500000588,2012-10-03,N
0500000589,2012-10-03,N
0500000590,2012-10-03,N
0500000591,2012-10-03,N
0500000592,2012-10-03,N
0500000593,2012-10-03,N
0500000594,2012-10-03,N
0500000595,2012-10-03,N
0500000596,2012-10-03,N
0500000597,2012-10-03,N
0500000598,2012-10-03,N
0500000599,2012-10-03,N
0500000600,2012-10-03,N
0500000601,2012-10-03,N
0500000602,2012-10-03,N
0500000603,2012-10-03,N
0500000604,2012-10-03,N
0500000605,2012-10-03,N
0500000606,2012-10-03,N
0500000607,2012-10-03,N
0500000608,2012-10-03,N
0500000609,2012-10-03,N
0500000610,2012-10-03,N
0500000611,2012-10-03,N
0500000612,2012-10-03,N
0500000613,2012-10-03,N
0500000614,2012-10-03,N
0500000615,2012-10-03,N
0500000616,2012-10-03,N
0500000617,2012-10-03,N
0500000618,2012-10-03,N
0500000619,2012-10-03,N
0500000620,2012-10-03,N
0500000621,2012-10-03,N
0500000622,2012-10-03,N
0500000623,2012-10-03,N
0500000624,2012-10-03,N
0500000625,2012-10-03,N
0500000626,2012-10-03,N
0500000627,2012-10-03,N
0500000628,2012-10-03,N
0500000629,2012-10-03,N
0500000630,2012-10-03,N
0500000631,2012-10-03,N
0500000632,2012-10-03,N
0500000633,2012-10-03,N
0500000634,2012-10-03,N
0500000635,2012-10-03,N
0500000636,2012-10-03,N
0500000637,2012-10-03,N
0500000638,2012-10-03,N
0500000639,2012-10-03,N
0500000640,2012-10-03,N
0500000641,2012-10-03,N
0500000642,2012-10-03,N
0500000643,2012-10-03,N
0500000644,2012-10-03,N
0500000645,2012-10-03,N
0500000646,2012-10-03,N
0500000647,2012-10-03,N
0500000648,2012-10-03,N
0500000649,2012-10-03,N
0500000650,2012-10-03,N
0500000651,2012-10-03,N
0500000652,2012-10-03,N
0500000653,2012-10-03,N
0500000654,2012-10-03,N
0500000655,2012-10-03,N
0500000656,2012-10-03,N
0500000657,2012-10-03,N
0500000658,2012-10-03,N
0500000659,2012-10-03,N
0500000660,2012-10-03,N
0500000661,2012-10-03,N
0500000662,2012-10-03,N
0500000663,2012-10-03,N
0500000664,2012-10-03,N
0500000665,2012-10-03,N
0500000666,2012-10-03,N
0500000667,2012-10-03,N
0500000668,2012-10-03,N
0500000669,2012-10-03,N
0500000670,2012-10-03,N
0500000671,2012-10-03,N
0500000672,2012-10-03,N
0500000673,2012-10-03,N
0500000674,2012-10-03,N
0500000675,2012-10-03,N
0500000676,2012-10-03,N
0500000677,2012-10-03,N
0500000678,2012-10-03,N
0500000679,2012-10-03,N
0500000680,2012-10-03,N
0500000681,2012-10-03,N
0500000682,2012-10-03,N
0500000683,2012-10-03,N
0500000684,2012-10-03,N
0500000685,2012-10-03,N
0500000686,2012-10-03,N
0500000687,2012-10-03,N
0500000688,2012-10-03,N
0500000689,2012-10-03,N
0500000690,2012-10-03,N
0500000691,2012-10-03,N
0500000692,2012-10-03,N
0500000693,2012-10-03,N
0500000694,2012-10-03,N
0500000695,2012-10-03,N
0500000696,2012-10-03,N
0500000697,2012-10-03,N
0500000698,2012-10-03,N
0500000699,2012-10-03,N
0500000700,2012-10-03,N
0500000701,2012-10-03,N
0500000702,2012-10-03,N
0500000703,2012-10-03,N
0500000704,2012-10-03,N
0500000705,2012-10-03,N
0500000706,2012-10-03,N
0500000707,2012-10-03,N
0500000708,2012-10-03,N
0500000709,2012-10-03,N
0500000710,2012-10-03,N
0500000711,2012-10-03,N
0500000712,2012-10-03,N
0500000713,2012-10-03,N
0500000714,2012-10-03,N
0500000715,2012-10-03,N
0500000716,2012-10-03,N
0500000717,2012-10-03,N
0500000718,2012-10-03,N
0500000719,2012-10-03,N
0500000720,2012-10-03,N
0500000721,2012-10-03,N
0500000722,2012-10-03,N
0500000723,2012-10-03,N
0500000724,2012-10-03,N
0500000725,2012-10-03,N
0500000726,2012-10-03,N
0500000727,2012-10-03,N
0500000728,2012-10-03,N
0500000729,2012-10-03,N
0500000730,2012-10-03,N
0500000731,2012-10-03,N
0500000732,2012-10-03,N
0500000733,2012-10-03,N
0500000734,2012-10-03,N
0500000735,2012-10-03,N
0500000736,2012-10-03,N
0500000737,2012-10-03,N
0500000738,2012-10-03,N
0500000739,2012-10-03,N
0500000740,2012-10-03,N
0500000741,2012-10-03,N
0500000742,2012-10-03,N
0500000743,2012-10-03,N
0500000744,2012-10-03,N
0500000745,2012-10-03,N
0500000746,2012-10-03,N
0500000747,2012-10-03,N
0500000748,2012-10-03,N
0500000749,2012-10-03,N
0500000750,2012-10-03,N
0500000751,2012-10-03,N
0500000752,2012-10-03,N
0500000753,2012-10-03,N
0500000754,2012-10-03,N
0500000755,2012-10-03,N
0500000756,2012-10-03,N
0500000757,2012-10-03,N
0500000758,2012-10-03,N
0500000759,2012-10-03,N
0500000760,2012-10-03,N
0500000761,2012-10-03,N
0500000762,2012-10-03,N
0500000763,2012-10-03,N
0500000764,2012-10-03,N
0500000765,2012-10-03,N
0500000766,2012-10-03,N
0500000767,2012-10-03,N
0500000768,2012-10-03,N
0500000769,2012-10-03,N
0500000770,2012-10-03,N
0500000771,2012-10-03,N
0500000772,2012-10-03,N
0500000773,2012-10-03,N
0500000774,2012-10-03,N
0500000775,2012-10-03,N
0500000776,2012-10-03,N
0500000777,2012-10-03,N
0500000778,2012-10-03,N
0500000779,2012-10-03,N
0500000780,2012-10-03,N
0500000781,2012-10-03,N
0500000782,2012-10-03,N
0500000783,2012-10-03,N
0500000784,2012-10-03,N
0500000785,2012-10-03,N
0500000786,2012-10-03,N
0500000787,2012-10-03,N
0500000788,2012-10-03,N
0500000789,2012-10-03,N
0500000790,2012-10-03,N
0500000791,2012-10-03,N
0500000792,2012-10-03,N
0500000793,2012-10-03,N
0500000794,2012-10-03,N
0500000795,2012-10-03,N
0500000796,2012-10-03,N
0500000797,2012-10-03,N
0500000798,2012-10-03,N
0500000799,2012-10-03,N
0500000800,2012-10-03,N
0500000801,2012-10-03,N
0500000802,2012-10-03,N
0500000803,2012-10-03,N
0500000804,2012-10-03,N
0500000805,2012-10-03,N
0500000806,2012-10-03,N
0500000807,2012-10-03,N
0500000808,2012-10-03,N
0500000809,2012-10-03,N
0500000810,2012-10-03,N
0500000811,2012-10-03,N
0500000812,2012-10-03,N
0500000813,2012-10-03,N
0500000814,2012-10-03,N
0500000815,2012-10-03,N
0500000816,2012-10-03,N
0500000817,2012-10-03,N
0500000818,2012-10-03,N
0500000819,2012-10-03,N
0500000820,2012-10-03,N
0500000821,2012-10-03,N
0500000822,2012-10-03,N
0500000823,2012-10-03,N
0500000824,2012-10-03,N
0500000825,2012-10-03,N
0500000826,2012-10-03,N
0500000827,2012-10-03,N
0500000828,2012-10-03,N
0500000829,2012-10-03,N
0500000830,2012-10-03,N
0500000831,2012-10-03,N
0500000832,2012-10-03,N
0500000833,2012-10-03,N
0500000834,2012-10-03,N
0500000835,2012-10-03,N
0500000836,2012-10-03,N
0500000837,2012-10-03,N
0500000838,2012-10-03,N
0500000839,2012-10-03,N
0500000840,2012-10-03,N
0500000841,2012-10-03,N
0500000842,2012-10-03,N
0500000843,2012-10-03,N
0500000844,2012-10-03,N
0500000845,2012-10-03,N
0500000846,2012-10-03,N
0500000847,2012-10-03,N
0500000848,2012-10-03,N
0500000849,2012-10-03,N
0500000850,2012-10-03,N
0500000851,2012-10-03,N
0500000852,2012-10-03,N
0500000853,2012-10-03,N
0500000854,2012-10-03,N
0500000855,2012-10-03,N
0500000856,2012-10-03,N
0500000857,2012-10-03,N
0500000858,2012-10-03,N
0500000859,2012-10-03,N
0500000860,2012-10-03,N
0500000861,2012-10-03,N
0500000862,2012-10-03,N
0500000863,2012-10-03,N
0500000864,2012-10-03,N
0500000865,2012-10-03,N
0500000866,2012-10-03,N
0500000867,2012-10-03,N
0500000868,2012-10-03,N
0500000869,2012-10-03,N
0500000870,2012-10-03,N
0500000871,2012-10-03,N
0500000872,2012-10-03,N
0500000873,2012-10-03,N
0500000874,2012-10-03,N
0500000875,2012-10-03,N
0500000876,2012-10-03,N
0500000877,2012-10-03,N
0500000878,2012-10-03,N
0500000879,2012-10-03,N
0500000880,2012-10-03,N
0500000881,2012-10-03,N
0500000882,2012-10-03,N
0500000883,2012-10-03,N
0500000884,2012-10-03,N
0500000885,2012-10-03,N
0500000886,2012-10-03,N
0500000887,2012-10-03,N
0500000888,2012-10-03,N
0500000889,2012-10-03,N
0500000890,2012-10-03,N
0500000891,2012-10-03,N
0500000892,2012-10-03,N
0500000893,2012-10-03,N
0500000894,2012-10-03,N
0500000895,2012-10-03,N
0500000896,2012-10-03,N
0500000897,2012-10-03,N
0500000898,2012-10-03,N
0500000899,2012-10-03,N
0500000900,2012-10-03,N
0500000901,2012-10-03,N
0500000902,2012-10-03,N
0500000903,2012-10-03,N
0500000904,2012-10-03,N
0500000905,2012-10-03,N
0500000906,2012-10-03,N
0500000907,2012-10-03,N
0500000908,2012-10-03,N
0500000909,2012-10-03,N
0500000910,2012-10-03,N
0500000911,2012-10-03,N
0500000912,2012-10-03,N
0500000913,2012-10-03,N
0500000914,2012-10-03,N
0500000915,2012-10-03,N
0500000916,2012-10-03,N
0500000917,2012-10-03,N
0500000918,2012-10-03,N
0500000919,2012-10-03,N
0500000920,2012-10-03,N
0500000921,2012-10-03,N
0500000922,2012-10-03,N
0500000923,2012-10-03,N
0500000924,2012-10-03,N
0500000925,2012-10-03,N
0500000926,2012-10-03,N
0500000927,2012-10-03,N
0500000928,2012-10-03,N
0500000929,2012-10-03,N
0500000930,2012-10-03,N
0500000931,2012-10-03,N
0500000932,2012-10-03,N
0500000933,2012-10-03,N
0500000934,2012-10-03,N
0500000935,2012-10-03,N
0500000936,2012-10-03,N
0500000937,2012-10-03,N
0500000938,2012-10-03,N
0500000939,2012-10-03,N
0500000940,2012-10-03,N
0500000941,2012-10-03,N
0500000942,2012-10-03,N
0500000943,2012-10-03,N
0500000944,2012-10-03,N
0500000945,2012-10-03,N
0500000946,2012-10-03,N
0500000947,2012-10-03,N
0500000948,2012-10-03,N
0500000949,2012-10-03,N
0500000950,2012-10-03,N
0500000951,2012-10-03,N
0500000952,2012-10-03,N
0500000953,2012-10-03,N
0500000954,2012-10-03,N
0500000955,2012-10-03,N
0500000956,2012-10-03,N
0500000957,2012-10-03,N
0500000958,2012-10-03,N
0500000959,2012-10-03,N
0500000960,2012-10-03,N
0500000961,2012-10-03,N
0500000962,2012-10-03,N
0500000963,2012-10-03,N
0500000964,2012-10-03,N
0500000965,2012-10-03,N
0500000966,2012-10-03,N
0500000967,2012-10-03,N
0500000968,2012-10-03,N
0500000969,2012-10-03,N
0500000970,2012-10-03,N
0500000971,2012-10-03,N
0500000972,2012-10-03,N
0500000973,2012-10-03,N
0500000974,2012-10-03,N
0500000975,2012-10-03,N
0500000976,2012-10-03,N
0500000977,2012-10-03,N
0500000978,2012-10-03,N
0500000979,2012-10-03,N
0500000980,2012-10-03,N
0500000981,2012-10-03,N
0500000982,2012-10-03,N
0500000983,2012-10-03,N
0500000984,2012-10-03,N
0500000985,2012-10-03,N
0500000986,2012-10-03,N
0500000987,2012-10-03,N
0500000988,2012-10-03,N
0500000989,2012-10-03,N
0500000990,2012-10-03,N
0500000991,2012-10-03,N
0500000992,2012-10-03,N
0500000993,2012-10-03,N
0500000994,2012-10-03,N
0500000995,2012-10-03,N
